product_id,symbol,base_min_size(最小交易量),base_increment(交易货币精度),quote_increment(计价货币精度)
10,bch_btc,0.001,0.00000001,0.00000001
12,ltc_btc,0.001,0.00000100,0.00000001
13,eth_btc,0.001,0.00000100,0.00000001
14,etc_btc,0.01,0.00001000,0.00000001
19,eth_usdt,0.001,0.00000100,0.00010000
20,btc_usdt,0.001,0.00000001,0.00010000
22,bt2_btc,0.01,0.00001000,0.00000001
23,etc_eth,0.01,0.00001000,0.00000001
24,btg_btc,0.01,0.00001000,0.00000001
25,ltc_usdt,0.001,0.00000100,0.00010000
26,etc_usdt,0.01,0.00001000,0.00010000
27,bch_usdt,0.001,0.00000001,0.00010000
28,qtum_btc,0.01,0.00001000,0.00000001
29,qtum_usdt,0.01,0.00001000,0.00010000
30,qtum_eth,0.01,0.00001000,0.00000001
31,neo_btc,0.01,0.00001000,0.00000001
32,gas_btc,0.01,0.00001000,0.00000001
33,hsr_btc,0.1,0.00010000,0.00000001
34,neo_eth,0.01,0.00001000,0.00000001
35,gas_eth,0.01,0.00001000,0.00000001
36,hsr_eth,0.1,0.00010000,0.00000001
37,neo_usdt,0.01,0.00001000,0.00010000
38,gas_usdt,0.01,0.00001000,0.00010000
39,hsr_usdt,0.1,0.00010000,0.00010000
40,dash_btc,0.001,0.00000100,0.00000001
41,xrp_btc,1,0.00100000,0.00000001
42,zec_btc,0.001,0.00000100,0.00000001
43,dash_eth,0.001,0.00000100,0.00000001
44,xrp_eth,1,0.00100000,0.00000001
45,zec_eth,0.001,0.00000100,0.00000001
46,dash_usdt,0.001,0.00000100,0.00010000
47,xrp_usdt,1,0.00100000,0.00010000
48,zec_usdt,0.001,0.00000100,0.00010000
49,iota_btc,1,0.00100000,0.00000001
50,xuc_btc,0.1,0.00010000,0.00000001
51,iota_eth,1,0.00100000,0.00000001
52,xuc_eth,0.1,0.00010000,0.00000001
53,iota_usdt,1,0.00100000,0.00010000
54,xuc_usdt,0.1,0.00010000,0.00010000
55,eos_btc,0.1,0.00010000,0.00000001
56,omg_btc,0.1,0.00010000,0.00000001
57,eos_eth,0.1,0.00010000,0.00000001
58,omg_eth,0.1,0.00010000,0.00000001
59,eos_usdt,0.1,0.00010000,0.00010000
60,omg_usdt,0.1,0.00010000,0.00010000
61,act_btc,1,0.00100000,0.00000001
62,btm_btc,1,0.00100000,0.00000001
63,act_eth,1,0.00100000,0.00000001
64,btm_eth,1,0.00100000,0.00000001
65,act_usdt,1,0.00100000,0.00010000
66,btm_usdt,1,0.00100000,0.00010000
67,bcd_btc,0.1,0.00010000,0.00000001
68,bcd_usdt,0.1,0.00010000,0.00010000
