product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
10,bch_btc,0.001,0.00000001,0.00000001
11,bcs_btc,0.001,0.00000001,0.00000001
12,ltc_btc,0.001,0.00000001,0.00000100
13,eth_btc,0.001,0.00000001,0.00000100
14,etc_btc,0.01,0.00000001,0.00001000
19,eth_usdt,0.001,0.00010000,0.00000100
20,btc_usdt,0.001,0.00010000,0.00000001
21,bt1_btc,0.001,0.00000001,0.00000001
23,etc_eth,0.01,0.00000001,0.00001000
24,btg_btc,0.01,0.00000001,0.00001000
25,ltc_usdt,0.001,0.00010000,0.00000100
26,etc_usdt,0.01,0.00010000,0.00001000
27,bch_usdt,0.001,0.00010000,0.00000001
28,qtum_btc,0.01,0.00000001,0.00001000
29,qtum_usdt,0.01,0.00010000,0.00001000
30,qtum_eth,0.01,0.00000001,0.00001000
31,neo_btc,0.01,0.00000001,0.00001000
32,gas_btc,0.01,0.00000001,0.00001000
33,hsr_btc,0.1,0.00000001,0.00010000
34,neo_eth,0.01,0.00000001,0.00001000
35,gas_eth,0.01,0.00000001,0.00001000
36,hsr_eth,0.1,0.00000001,0.00010000
37,neo_usdt,0.01,0.00010000,0.00001000
38,gas_usdt,0.01,0.00010000,0.00001000
39,hsr_usdt,0.1,0.00010000,0.00010000
40,dash_btc,0.001,0.00000001,0.00000100
41,xrp_btc,1,0.00000001,0.00100000
42,zec_btc,0.001,0.00000001,0.00000100
43,dash_eth,0.001,0.00000001,0.00000100
44,xrp_eth,1,0.00000001,0.00100000
45,zec_eth,0.001,0.00000001,0.00000100
46,dash_usdt,0.001,0.00010000,0.00000100
47,xrp_usdt,1,0.00010000,0.00100000
48,zec_usdt,0.001,0.00010000,0.00000100
49,iota_btc,1,0.00000001,0.00100000
50,xuc_btc,0.1,0.00000001,0.00010000
51,iota_eth,1,0.00000001,0.00100000
52,xuc_eth,0.1,0.00000001,0.00010000
53,iota_usdt,1,0.00010000,0.00100000
54,xuc_usdt,0.1,0.00010000,0.00010000
55,eos_btc,0.1,0.00000001,0.00010000
56,omg_btc,0.1,0.00000001,0.00010000
57,eos_eth,0.1,0.00000001,0.00010000
58,omg_eth,0.1,0.00000001,0.00010000
59,eos_usdt,0.1,0.00010000,0.00010000
60,omg_usdt,0.1,0.00010000,0.00010000
