提币最小值限制
symbol,single_min
ETC,0.1
BCH,0.01
BTC,0.01
LTC,0.1
ETH,0.01
USDT,100
QTUM,0.1
HSR,0.01
NEO,1
GAS,0.01
ZEC,0.01
DASH,0.004
EOS,0.01
XUC,0.01
OMG,0.01
IOTA,0.001
SNT,100
STORJ,4
BTG,0.001
CMT,2
ITC,1
ACT,10
PRA,1
PAY,1
GNT,20
DGD,1
MCO,0.4
LRC,14
NULS,4
SAN,0.01
EDO,0.01
AVT,0.01
CTR,1
LINK,1
SALT,1
WTC,0.01
SNGLS,1
SNM,1
ZRX,1
XRP,20
XEM,1
KNC,0.01
DAT,0.01
1ST,1
BNT,1
CVC,1
ICX,0.01
TNB,1
MANA,1
VEE,1
AMM,1
GNX,1
ARK,0.2
YOYO,1
QVT,1
BTM,10
AST,1
SUB,1
DNT,1
FUN,1
ELF,1
EVX,0.01
MDA,0.01
MTH,1
MTL,0.01
ACE,1
TRX,600
PPT,0.01
OAX,1
REQ,1
ENG,0.01
ICN,0.01
DGB,1
RCN,1
RDN,0.6
XMR,0.001
XLM,21
SWFTC,1
MDT,1
KCASH,1
UGC,1
WRC,1
NAS,0.01
RNT,1
UKG,1
DPY,0.01
READ,1
SSC,1
SMT,1
AAC,1
FAIR,1
CAG,1
DNA,1
LEND,1
RCT,1
SHOW,1
VIB,1
MOT,1
UTK,1
MAG,1
TOPC,1
QUN,1
VIU,1
BRD,1
OST,1
AIDOC,1
INT,1
TIO,1
NGC,1
LA,1
IPC,1
POE,1
INS,0.1
MOF,1
IOST,1
YEE,1
TCT,1
ATL,1
STC,1
THETA,1
CAN,1
LEV,1
REF,0.1
SPF,1
HOT,1
PST,1
SNC,1
MKR,0.01
KEY,1
LIGHT,1
TRUE,1
OF,1
NANO,1
SOC,1
DENT,1
ZEN,0.01
HMC,1
ZIP,1000
CIC,1
GTO,1
R,1
CBT,1
INSUR,1
CHAT,1
UCT,1
BEC,1
MITH,1
ABT,1
BKX,1
GTC,1
AUTO,1
GSC,1
RFR,1
TRIO,1
TRA,1
WFEE,1
REN,1
DADI,1
ENJ,1
BCD,1
ONT,1
CTXC,1
ZIL,1
LBA,1
YOU,1
CAI,1
LSK,1
SC,1
AE,1
WIN,1
KAN,1
DCR,0.1
WAVES,1
MVP,1
ORS,1
