现货全部币对下单精度
symbol,quote_increment
bch_btc,0.00000001
ltc_btc,0.00000001
eth_btc,0.00000001
etc_btc,0.00000001
eth_usdt,0.0001
btc_usdt,0.0001
bt2_btc,0.00000001
etc_eth,0.00000001
btg_btc,0.00000001
ltc_usdt,0.0001
etc_usdt,0.0001
bch_usdt,0.0001
qtum_btc,0.00000001
qtum_usdt,0.0001
qtum_eth,0.00000001
neo_btc,0.00000001
gas_btc,0.00000001
hsr_btc,0.00000001
neo_eth,0.00000001
gas_eth,0.00000001
hsr_eth,0.00000001
neo_usdt,0.0001
gas_usdt,0.0001
hsr_usdt,0.0001
dash_btc,0.00000001
xrp_btc,0.00000001
zec_btc,0.00000001
dash_eth,0.00000001
xrp_eth,0.00000001
zec_eth,0.00000001
dash_usdt,0.0001
xrp_usdt,0.0001
zec_usdt,0.0001
iota_btc,0.00000001
xuc_btc,0.00000001
iota_eth,0.00000001
xuc_eth,0.00000001
iota_usdt,0.0001
xuc_usdt,0.0001
eos_btc,0.00000001
omg_btc,0.00000001
eos_eth,0.00000001
omg_eth,0.00000001
eos_usdt,0.0001
omg_usdt,0.0001
act_btc,0.00000001
btm_btc,0.00000001
act_eth,0.00000001
btm_eth,0.00000001
act_usdt,0.0001
btm_usdt,0.0001
bcd_btc,0.00000001
bcd_usdt,0.0001
storj_btc,0.00000001
snt_btc,0.00000001
storj_eth,0.00000001
snt_eth,0.00000001
storj_usdt,0.0001
snt_usdt,0.0001
pay_btc,0.00000001
dgd_btc,0.00000001
gnt_btc,0.00000001
pay_eth,0.00000001
dgd_eth,0.00000001
gnt_eth,0.00000001
pay_usdt,0.0001
dgd_usdt,0.0001
gnt_usdt,0.0001
lrc_btc,0.00000001
nuls_btc,0.00000001
mco_btc,0.00000001
lrc_eth,0.00000001
nuls_eth,0.00000001
mco_eth,0.00000001
lrc_usdt,0.0001
nuls_usdt,0.0001
mco_usdt,0.0001
btg_usdt,0.0001
cmt_btc,0.00000001
itc_btc,0.00000001
cmt_eth,0.00000001
itc_eth,0.00000001
cmt_usdt,0.0001
itc_usdt,0.0001
sbtc_btc,0.00000001
pra_btc,0.00000001
san_btc,0.00000001
edo_btc,0.00000001
avt_btc,0.00000001
pra_eth,0.00000001
san_eth,0.00000001
edo_eth,0.00000001
